Time,Queue Size,Event
6.6,3,size
6.6,2,size
6.608,3,size
6.608,2,size
6.616,3,size
6.616,2,size
6.624,3,size
6.624,2,size
6.632,3,size
6.632,2,size
6.64,3,size
6.64,2,size
6.648,3,size
6.648,2,size
6.656,3,size
6.656,2,size
6.664,3,size
6.664,2,size
6.672,3,size
6.672,4,size
6.672,3,size
6.68,4,size
6.68,3,size
6.688,4,size
6.688,3,size
6.696,4,size
6.696,3,size
6.704,4,size
6.704,3,size
6.712,4,size
6.712,3,size
6.72,4,size
6.72,3,size
6.728,4,size
6.728,3,size
6.736,4,size
6.736,3,size
6.744,4,size
6.744,3,size
6.752,4,size
6.752,3,size
6.76,4,size
6.76,3,size
6.768,4,size
6.768,3,size
6.776,4,size
6.776,3,size
6.784,4,size
6.784,3,size
6.792,4,size
6.792,3,size
6.8,4,size
6.8,3,size
6.808,4,size
6.808,3,size
6.816,4,size
6.816,3,size
6.824,4,size
6.824,3,size
6.832,4,size
6.832,3,size
6.84,4,size
6.84,3,size
6.848,4,size
6.848,3,size
6.856,4,size
6.856,3,size
6.864,4,size
6.864,3,size
6.872,4,size
6.872,3,size
6.88,4,size
6.88,3,size
6.888,4,size
6.888,3,size
6.896,4,size
6.896,3,size
6.904,4,size
6.904,3,size
6.912,4,size
6.912,5,size
6.912,4,size
6.92,5,size
6.92,4,size
6.928,5,size
6.928,4,size
6.936,5,size
6.936,4,size
6.944,5,size
6.944,4,size
6.952,5,size
6.952,4,size
6.96,5,size
6.96,4,size
6.968,5,size
6.968,4,size
6.976,5,size
6.976,4,size
6.984,5,size
6.984,4,size
6.992,5,size
6.992,4,size
7.0,5,size
7.0,4,size
7.008,5,size
7.008,4,size
7.016,5,size
7.016,4,size
7.024,5,size
7.024,4,size
7.032,5,size
7.032,4,size
7.04,5,size
7.04,4,size
7.048,5,size
7.048,4,size
7.056,5,size
7.056,4,size
7.064,5,size
7.064,4,size
7.072,5,size
7.072,4,size
7.08,5,size
7.08,4,size
7.088,5,size
7.088,4,size
7.096,5,size
7.096,4,size
7.104,5,size
7.104,4,size
7.112,5,size
7.112,4,size
7.12,5,size
7.12,4,size
7.128,5,size
7.128,4,size
7.136,5,size
7.136,4,size
7.144,5,size
7.144,4,size
7.152,5,size
7.152,6,size
7.152,5,size
7.16,6,size
7.16,5,size
7.168,6,size
7.168,5,size
7.176,6,size
7.176,5,size
7.184,6,size
7.184,5,size
7.192,4,size
7.2,3,size
7.208,2,size
7.216,1,size
7.224,0,size
