Utilization,Theoretical Delay
0.001,0.10000667334000668
0.002,0.10001336005344022
0.003,0.10002006018054163
0.004,0.10002677376171352
0.005,0.10003350083752094
0.006,0.10004024144869215
0.007,0.1000469956361195
0.008,0.10005376344086023
0.009000000000000001,0.10006054490413724
0.010000000000000002,0.10006734006734007
0.011,0.10007414897202561
0.012,0.10008097165991904
0.013000000000000001,0.10008780817291456
0.014000000000000002,0.10009465855307641
0.015,0.1001015228426396
0.016,0.10010840108401084
0.017,0.10011529331976941
0.018000000000000002,0.10012219959266803
0.019000000000000003,0.10012911994563371
0.02,0.10013605442176872
0.021,0.10014300306435138
0.022000000000000002,0.10014996591683709
0.023,0.1001569430228591
0.024,0.10016393442622952
0.025,0.10017094017094018
0.026000000000000002,0.10017796030116359
0.027000000000000003,0.10018499486125386
0.028,0.10019204389574761
0.029,0.10019910744936492
0.030000000000000002,0.10020618556701032
0.031,0.10021327829377366
0.032,0.10022038567493113
0.033,0.10022750775594623
0.034,0.10023464458247068
0.035,0.10024179620034543
0.036000000000000004,0.10024896265560167
0.037000000000000005,0.10025614399446175
0.038,0.10026334026334027
0.039,0.10027055150884497
0.04,0.10027777777777779
0.041,0.10028501911713592
0.042,0.10029227557411274
0.043000000000000003,0.10029954719609893
0.044000000000000004,0.10030683403068341
0.045,0.10031413612565446
0.046,0.10032145352900071
0.047,0.10032878628891222
0.048,0.10033613445378152
0.049,0.1003434980722047
0.05,0.10035087719298247
0.051000000000000004,0.10035827186512118
0.052000000000000005,0.10036568213783405
0.053000000000000005,0.10037310806054207
0.054,0.10038054968287527
0.055,0.10038800705467373
0.056,0.10039548022598871
0.057,0.10040296924708378
0.058,0.10041047416843596
0.059000000000000004,0.10041799504073681
0.060000000000000005,0.10042553191489362
0.061,0.10043308484203053
0.062,0.1004406538734897
0.063,0.10044823906083244
0.064,0.10045584045584047
0.065,0.10046345811051693
0.066,0.1004710920770878
0.067,0.10047874240800286
0.068,0.10048640915593705
0.069,0.10049409237379163
0.07,0.10050179211469534
0.07100000000000001,0.10050950843200575
0.07200000000000001,0.10051724137931035
0.07300000000000001,0.1005249910104279
0.074,0.10053275737940966
0.075,0.10054054054054054
0.076,0.10054834054834055
0.077,0.10055615745756591
0.078,0.10056399132321042
0.079,0.1005718422005067
0.08,0.10057971014492754
0.081,0.10058759521218716
0.082,0.10059549745824256
0.083,0.10060341693929481
0.084,0.1006113537117904
0.085,0.1006193078324226
0.08600000000000001,0.10062727935813276
0.08700000000000001,0.10063526834611172
0.08800000000000001,0.10064327485380117
0.089,0.10065129893889499
0.09,0.10065934065934067
0.091,0.10066740007334067
0.092,0.1006754772393539
0.093,0.10068357221609703
0.094,0.100691685062546
0.095,0.10069981583793738
0.096,0.10070796460176992
0.097,0.10071613141380584
