packet_id,util,create_time,receive_time
2.0,0.84,0.0,0.10800000000000001
3.0,0.84,0.0037981640558574547,0.11220183594414257
4.0,0.84,0.00735353004013637,0.11664646995986364
5.0,0.84,0.010968738383378375,0.12103126161662163
6.0,0.84,0.01135329756121275,0.12864670243878726
7.0,0.84,0.026325510411277682,0.12167448958872235
8.0,0.84,0.03797669769860718,0.11802330230139285
9.0,0.84,0.044613620219022466,0.11938637978097755
10.0,0.84,0.06571173061900773,0.10800000000000001
11.0,0.84,0.0779294729815031,0.10800000000000001
12.0,0.84,0.08174805237306254,0.11218142060844058
13.0,0.84,0.08713368783344612,0.11479578514805701
14.0,0.84,0.10218016310663416,0.10800000000000001
15.0,0.84,0.1065045192895291,0.11167564381710508
16.0,0.84,0.11891913060155637,0.10800000000000001
17.0,0.84,0.12143138508661527,0.11348774551494112
18.0,0.84,0.12229514105012726,0.12062398955142914
19.0,0.84,0.12278562964563149,0.1281335009559249
20.0,0.84,0.12886229182322373,0.13005683877833268
21.0,0.84,0.13261775842645118,0.13430137217510524
22.0,0.84,0.1341264872054017,0.14079264339615472
23.0,0.84,0.13463484101354325,0.14828428958801318
24.0,0.84,0.14077994671512808,0.15013918388642836
25.0,0.84,0.15023522176878393,0.14868390883277252
26.0,0.84,0.16884795309095613,0.13807117751060033
27.0,0.84,0.197130551427386,0.11778857917417046
28.0,0.84,0.2002489931775442,0.12267013742401228
29.0,0.84,0.20885742233544813,0.12206170826610835
30.0,0.84,0.21083655003037702,0.12808258057117947
31.0,0.84,0.21668489293034218,0.1302342376712143
32.0,0.84,0.2298729661614215,0.125046164440135
33.0,0.84,0.23073906698840893,0.13218006361314752
34.0,0.84,0.23091118012315218,0.14000795047840428
35.0,0.84,0.23784064708200683,0.14107848351954963
36.0,0.84,0.2441581067639029,0.14276102383765357
37.0,0.84,0.25325904993427195,0.14166008066728453
38.0,0.84,0.270243498699975,0.1326756319015815
39.0,0.84,0.2711678402467572,0.13975129035479927
40.0,0.84,0.2955095886647951,0.1234095419367614
41.0,0.84,0.29563693636612665,0.13128219423542986
42.0,0.84,0.2997725008573102,0.1351466297442463
43.0,0.84,0.3124517554865538,0.13046737511500273
44.0,0.84,0.3150689856625788,0.13585014493897773
45.0,0.84,0.31743480790520195,0.14148432269635458
46.0,0.84,0.3177574982347316,0.14916163236682495
47.0,0.84,0.3184278073504588,0.15649132325109777
48.0,0.84,0.35380486165381697,0.12911426894773959
49.0,0.84,0.3683807355611842,0.12253839504037234
50.0,0.84,0.3685227335214131,0.13039639708014344
51.0,0.84,0.38793774149657717,0.11898138910497941
52.0,0.84,0.39823415588015465,0.11668497472140194
53.0,0.84,0.3988209639979868,0.12409816660356981
54.0,0.84,0.4061629314263079,0.12475619917524872
55.0,0.84,0.45073406284372985,0.10799999999999998
56.0,0.84,0.46015713432806443,0.10800000000000004
57.0,0.84,0.4743465073387004,0.10800000000000004
58.0,0.84,0.4861681910127909,0.10800000000000004
59.0,0.84,0.4873924364672298,0.11477575454556116
60.0,0.84,0.48895644628938845,0.1212117447234024
61.0,0.84,0.4954154601146493,0.12275273089814154
62.0,0.84,0.5087553541773069,0.11741283683548398
63.0,0.84,0.5164072567685856,0.1177609342442053
64.0,0.84,0.5290631948721342,0.11310499614065672
65.0,0.84,0.5538446953252297,0.10799999999999998
66.0,0.84,0.5685837137518499,0.10799999999999998
67.0,0.84,0.5707117318164129,0.11387198193543702
68.0,0.84,0.580693618413947,0.11189009533790295
69.0,0.84,0.5944880948203314,0.10799999999999998
70.0,0.84,0.6002927193853131,0.11019537543501823
71.0,0.84,0.6066802921431662,0.11180780267716517
72.0,0.84,0.6341180614384005,0.10799999999999998
73.0,0.84,0.640773902675777,0.10934415876262349
74.0,0.84,0.6434277412287821,0.11469032020961845
75.0,0.84,0.6632038403478162,0.10799999999999998
76.0,0.84,0.6709254546074164,0.10827838574039983
77.0,0.84,0.6803665079115755,0.10799999999999998
78.0,0.84,0.6821990202027818,0.1141674877087937
79.0,0.84,0.684544631682195,0.11982187622938045
80.0,0.84,0.6926546510621816,0.1197118568493939
81.0,0.84,0.6999016654404815,0.12046484247109401
82.0,0.84,0.7141411667373918,0.1142253411741837
83.0,0.84,0.7242005722308104,0.11216593568076516
84.0,0.84,0.7246357566231297,0.11973075128844579
85.0,0.84,0.7288890250775102,0.12347748283406534
86.0,0.84,0.7289339244122731,0.13143258349930242
87.0,0.84,0.7342511561876655,0.1341153517239101
88.0,0.84,0.7343442228303448,0.14202228508123071
89.0,0.84,0.7394187105481094,0.1449477973634662
90.0,0.84,0.7559945959278448,0.13637191198373078
91.0,0.84,0.7591353073153456,0.14123120059622996
92.0,0.84,0.7592651357868414,0.14910137212473418
93.0,0.84,0.7678904394657503,0.14847606844582528
94.0,0.84,0.7733221909312367,0.15104431698033893
95.0,0.84,0.7833353656982767,0.14903114221329894
96.0,0.84,0.7855591290387632,0.15480737887281237
97.0,0.84,0.7891661572427571,0.15920035066881855
98.0,0.84,0.7960341409357589,0.16033236697581676
99.0,0.84,0.8019100208041688,0.1624564871074068
100.0,0.84,0.8070591207128673,0.1653073871987083
101.0,0.84,0.811812088685824,0.16855441922575165
102.0,0.84,0.8235279708758116,0.164838537035764
103.0,0.84,0.8544926334165173,0.1418738744950584
104.0,0.84,0.8637555568977632,0.1406109510138126
105.0,0.84,0.8706206180460162,0.14174588986555958
106.0,0.84,0.8766388969384298,0.143727610973146
107.0,0.84,0.8881622637289769,0.1402042441825989
108.0,0.84,0.8949836650680862,0.14138284284348956
