Time,Queue Size,Event
2.3272,3,size
2.3272,4,size
2.3272,5,size
2.3272,6,size
2.3272,7,size
2.3272,8,size
2.328,7,size
2.3288,6,size
2.3296,5,size
2.3304,4,size
2.3312,3,size
2.3312,4,size
2.3312,5,size
2.332,4,size
2.3328,3,size
2.3336,2,size
2.3344,1,size
2.3352,0,size
2.3456,1,size
2.3456,2,size
2.3456,3,size
2.3456,4,size
2.3456,5,size
2.3456,6,size
2.3456,7,size
2.3464,6,size
2.3472,5,size
2.348,4,size
2.3488,3,size
2.3496,2,size
2.3504,1,size
2.3504,2,size
2.3504,3,size
2.3504,4,size
2.3504,5,size
2.3512,4,size
2.352,3,size
2.3528,2,size
2.3536,1,size
2.3536,2,size
2.3544,1,size
2.3544,2,size
2.3544,3,size
2.3544,4,size
2.3544,5,size
2.3544,6,size
2.3544,7,size
2.3544,8,size
2.3552,7,size
2.356,6,size
2.3568,5,size
2.3576,4,size
2.3584,3,size
2.3592,2,size
2.36,1,size
2.36,2,size
2.36,3,size
2.36,4,size
2.3608,3,size
2.3608,4,size
2.3616,3,size
2.3624,2,size
2.3632,1,size
2.364,0,size
2.3688,1,size
2.3688,2,size
2.3688,3,size
2.3688,4,size
2.3688,5,size
2.3688,6,size
2.3688,7,size
2.3688,8,size
2.3696,7,size
2.3704,6,size
2.3712,5,size
2.372,4,size
2.3728,3,size
2.3736,2,size
2.3744,1,size
2.3752,0,size
2.384,1,size
2.384,2,size
2.384,3,size
2.384,4,size
2.384,5,size
2.384,6,size
2.384,7,size
2.3848,6,size
2.3856,5,size
2.3864,4,size
2.3872,3,size
2.388,2,size
2.3888,1,size
2.3896,0,size
2.3896,1,size
2.3896,2,size
2.3896,3,size
2.3896,4,size
2.3896,5,size
2.3896,6,size
2.3896,7,size
2.3896,8,size
2.3896,9,size
2.3904,8,size
2.3912,7,size
2.392,6,size
2.3928,5,size
2.3936,4,size
2.3936,5,size
2.3936,6,size
2.3936,7,size
2.3936,8,size
2.3936,9,size
2.3936,10,size
2.3936,11,size
2.3944,10,size
2.3952,9,size
2.396,8,size
2.3968,7,size
2.3976,6,size
2.3984,5,size
2.3992,4,size
2.4,3,size
2.4008,2,size
2.4016,1,size
2.4024,0,size
2.4072,1,size
2.4072,2,size
2.4072,3,size
2.4072,4,size
2.4072,5,size
2.4072,6,size
2.4072,7,size
2.408,6,size
2.4088,5,size
2.4096,4,size
2.4104,3,size
2.4112,2,size
2.412,1,size
2.412,2,size
2.412,3,size
2.4128,2,size
2.4128,3,size
2.4136,2,size
2.4136,3,size
2.4144,2,size
2.4144,3,size
2.4152,2,size
2.416,1,size
2.416,2,size
2.4168,1,size
2.4168,2,size
2.4176,1,size
2.4176,2,size
2.4184,1,size
2.4192,0,size
2.4208,1,size
2.4208,2,size
2.4208,3,size
2.4208,4,size
2.4208,5,size
2.4208,6,size
2.4208,7,size
2.4208,8,size
2.4216,7,size
2.4224,6,size
2.4232,5,size
2.424,4,size
2.4248,3,size
2.4256,2,size
2.4264,1,size
2.4272,0,size
2.4272,1,size
2.428,0,size
2.4304,1,size
2.4304,2,size
2.4304,3,size
2.4304,4,size
2.4304,5,size
2.4304,6,size
2.4312,5,size
2.432,4,size
2.4328,3,size
2.4336,2,size
2.4344,1,size
2.4344,2,size
2.4352,1,size
2.4352,2,size
2.436,1,size
2.436,2,size
2.4368,1,size
2.4368,2,size
2.4376,1,size
2.4376,2,size
2.4384,1,size
2.4392,0,size
2.4408,1,size
2.4408,2,size
2.4408,3,size
2.4408,4,size
2.4408,5,size
2.4416,4,size
2.4424,3,size
2.4432,2,size
2.444,1,size
2.4448,0,size
2.4456,1,size
2.4456,2,size
2.4456,3,size
2.4464,2,size
2.4472,1,size
2.448,0,size
2.4528,1,size
2.4528,2,size
2.4528,3,size
2.4528,4,size
2.4528,5,size
2.4528,6,size
2.4536,5,size
2.4544,4,size
2.4552,3,size
2.456,2,size
2.4568,1,size
2.4568,2,size
2.4576,1,size
2.4576,2,size
2.4584,1,size
2.4592,0,size
2.4592,1,size
2.46,0,size
2.46,1,size
2.4608,0,size
2.4648,1,size
2.4648,2,size
2.4648,3,size
2.4648,4,size
2.4648,5,size
2.4648,6,size
2.4648,7,size
2.4656,6,size
2.4664,5,size
2.4664,6,size
2.4672,5,size
2.4672,6,size
2.468,5,size
2.468,6,size
2.4688,5,size
2.4688,6,size
2.4696,5,size
2.4704,4,size
2.4712,3,size
2.472,2,size
2.4728,1,size
2.4736,0,size
2.4752,1,size
2.4752,2,size
2.4752,3,size
2.4752,4,size
2.4752,5,size
2.4752,6,size
2.4752,7,size
2.476,6,size
2.4768,5,size
2.4776,4,size
2.4784,3,size
2.4792,2,size
2.4792,3,size
2.4792,4,size
2.48,3,size
2.48,4,size
2.4808,3,size
2.4816,2,size
2.4824,1,size
2.4832,0,size
2.4864,1,size
2.4864,2,size
2.4864,3,size
2.4864,4,size
2.4864,5,size
2.4864,6,size
2.4864,7,size
2.4872,6,size
2.488,5,size
2.4888,4,size
2.4896,3,size
2.4904,2,size
2.4912,1,size
2.492,0,size
2.4968,1,size
2.4968,2,size
2.4968,3,size
2.4968,4,size
2.4968,5,size
2.4976,4,size
2.4984,3,size
2.4992,2,size
2.4992,3,size
2.5,2,size
2.5,3,size
2.5,4,size
2.5,5,size
2.5,6,size
2.5,7,size
2.5,8,size
2.5,9,size
2.5008,8,size
2.5016,7,size
2.5024,6,size
2.5024,7,size
2.5032,6,size
2.504,5,size
2.504,6,size
2.504,7,size
2.5048,6,size
2.5056,5,size
2.5064,4,size
2.5072,3,size
2.508,2,size
2.508,3,size
2.5088,2,size
2.5088,3,size
2.5088,4,size
2.5088,5,size
2.5088,6,size
2.5088,7,size
2.5088,8,size
2.5088,9,size
2.5088,10,size
2.5096,9,size
2.5104,8,size
2.5112,7,size
2.512,6,size
2.5128,5,size
2.5136,4,size
2.5144,3,size
2.5152,2,size
2.516,1,size
2.5168,0,size
2.524,1,size
2.524,2,size
2.524,3,size
2.524,4,size
2.5248,3,size
2.5256,2,size
2.5264,1,size
2.5272,0,size
2.5272,1,size
2.528,0,size
2.5304,1,size
2.5304,2,size
2.5304,3,size
2.5304,4,size
2.5304,5,size
2.5304,6,size
2.5312,5,size
2.532,4,size
2.5328,3,size
2.5328,4,size
2.5336,3,size
2.5344,2,size
2.5352,1,size
2.5352,2,size
2.5352,3,size
2.5352,4,size
2.5352,5,size
2.5352,6,size
2.5352,7,size
2.5352,8,size
2.5352,9,size
2.536,8,size
2.5368,7,size
2.5376,6,size
2.5384,5,size
2.5392,4,size
2.54,3,size
2.5408,2,size
2.5416,1,size
2.5424,0,size
2.5512,1,size
2.5512,2,size
2.5512,3,size
2.5512,4,size
2.5512,5,size
2.552,4,size
2.5528,3,size
2.5536,2,size
2.5544,1,size
2.5544,2,size
2.5552,1,size
2.5552,2,size
2.556,1,size
2.5568,0,size
2.5592,1,size
2.5592,2,size
2.5592,3,size
2.5592,4,size
2.5592,5,size
2.5592,6,size
2.5592,7,size
2.56,6,size
2.5608,5,size
2.5616,4,size
2.5624,3,size
2.5624,4,size
2.5632,3,size
2.564,2,size
2.5648,1,size
2.5656,0,size
2.5768,1,size
2.5776,0,size
2.5776,1,size
2.5784,0,size
2.5856,1,size
2.5856,2,size
2.5856,3,size
2.5856,4,size
2.5856,5,size
2.5864,4,size
2.5864,5,size
2.5872,4,size
2.588,3,size
2.5888,2,size
2.5896,1,size
