Time,Queue Size,Event
0,1,size
0,2,size
0,3,size
0,4,size
0,5,size
0,6,size
0.0008,5,size
0.0016,4,size
0.0024,3,size
0.0032,2,size
0.004,1,size
0.0048,0,size
0.044,1,size
0.044,2,size
0.044,3,size
0.044,4,size
0.044,5,size
0.044,6,size
0.044,7,size
0.044,8,size
0.0448,7,size
0.0456,6,size
0.0464,7,size
0.0464,8,size
0.0464,7,size
0.0472,6,size
0.048,5,size
0.0488,4,size
0.0496,3,size
0.0504,2,size
0.0512,1,size
0.052,0,size
0.0672,1,size
0.0672,2,size
0.0672,3,size
0.068,2,size
0.0688,1,size
0.0696,0,size
0.0904,1,size
0.0904,2,size
0.0904,3,size
0.0904,4,size
0.0904,5,size
0.0912,4,size
0.092,3,size
0.0928,2,size
0.0936,1,size
0.0936,2,size
0.0936,3,size
0.0936,4,size
0.0944,3,size
0.0952,2,size
0.096,1,size
0.0968,0,size
0.116,1,size
0.116,2,size
0.116,3,size
0.116,4,size
0.116,5,size
0.116,6,size
0.1168,5,size
0.1176,4,size
0.1184,3,size
0.1192,2,size
0.12,1,size
0.1208,0,size
0.136,1,size
0.136,2,size
0.136,3,size
0.136,4,size
0.136,5,size
0.136,6,size
0.1368,5,size
0.1376,4,size
0.1384,3,size
0.1384,4,size
0.1392,3,size
0.14,2,size
0.14,3,size
0.14,4,size
0.14,5,size
0.14,6,size
0.14,7,size
0.14,8,size
0.14,9,size
0.14,10,size
0.1408,9,size
0.1416,8,size
0.1424,7,size
0.1432,6,size
0.144,5,size
0.1448,4,size
0.1456,3,size
0.1464,2,size
0.1472,1,size
0.148,0,size
0.164,1,size
0.164,2,size
0.164,3,size
0.164,4,size
0.164,5,size
0.1648,4,size
0.1648,5,size
0.1656,4,size
0.1656,5,size
0.1656,6,size
0.1656,7,size
0.1656,8,size
0.1664,7,size
0.1672,6,size
0.168,5,size
0.1688,4,size
0.1696,3,size
0.1704,2,size
0.1712,1,size
0.172,0,size
0.1888,1,size
0.1888,2,size
0.1888,3,size
0.1888,4,size
0.1888,5,size
0.1888,6,size
0.1888,7,size
0.1888,8,size
0.1896,7,size
0.1896,8,size
0.1904,7,size
0.1904,8,size
0.1912,7,size
0.1912,8,size
0.192,7,size
0.192,8,size
0.1928,7,size
0.1936,6,size
0.1944,5,size
0.1952,4,size
0.196,3,size
0.1968,2,size
0.1976,1,size
0.1984,0,size
0.2104,1,size
0.2104,2,size
0.2104,3,size
0.2104,4,size
0.2104,5,size
0.2104,6,size
0.2112,5,size
0.212,4,size
0.2128,3,size
0.2128,4,size
0.2136,3,size
0.2136,4,size
0.2144,3,size
0.2144,4,size
0.2144,5,size
0.2144,6,size
0.2152,5,size
0.216,4,size
0.2168,3,size
0.2168,4,size
0.2176,3,size
0.2184,2,size
0.2184,3,size
0.2184,4,size
0.2192,3,size
0.2192,4,size
0.22,3,size
0.2208,2,size
0.2216,1,size
0.2224,0,size
0.2328,1,size
0.2328,2,size
0.2328,3,size
0.2328,4,size
0.2328,5,size
0.2328,6,size
0.2336,5,size
0.2344,4,size
0.2352,3,size
0.236,2,size
0.2368,1,size
0.2368,2,size
0.2376,1,size
0.2376,2,size
0.2384,1,size
0.2384,2,size
0.2392,1,size
0.24,0,size
0.24,1,size
0.24,2,size
0.2408,1,size
0.2408,2,size
0.2416,1,size
0.2424,0,size
0.2424,1,size
0.2424,2,size
0.2432,1,size
0.2432,2,size
0.244,1,size
0.2448,0,size
0.2576,1,size
0.2576,2,size
0.2576,3,size
0.2576,4,size
0.2576,5,size
0.2576,6,size
0.2576,7,size
0.2584,6,size
0.2592,7,size
0.2592,6,size
0.26,5,size
0.2608,4,size
0.2616,3,size
0.2624,2,size
0.2632,3,size
0.2632,2,size
0.264,3,size
0.264,2,size
0.2648,1,size
0.2656,2,size
0.2656,1,size
0.2664,0,size
0.28,1,size
0.28,2,size
0.28,3,size
0.28,4,size
0.28,5,size
0.28,6,size
0.28,7,size
0.28,8,size
0.2808,7,size
0.2816,6,size
0.2824,5,size
0.2832,4,size
0.284,3,size
0.2848,2,size
0.2856,1,size
0.2864,0,size
0.3,1,size
0.3008,0,size
0.3048,1,size
0.3048,2,size
0.3056,1,size
0.3064,0,size
0.3216,1,size
0.3216,2,size
0.3224,1,size
0.3224,2,size
0.3232,1,size
0.324,0,size
0.3424,1,size
0.3424,2,size
0.3424,3,size
0.3424,4,size
0.3424,5,size
0.3424,6,size
0.3424,7,size
0.3432,6,size
0.344,5,size
0.3448,4,size
0.3456,3,size
0.3464,2,size
0.3472,1,size
0.348,0,size
0.348,1,size
0.348,2,size
0.3488,1,size
0.3496,0,size
0.3632,1,size
0.3632,2,size
0.3632,3,size
0.3632,4,size
0.3632,5,size
0.3632,6,size
0.364,5,size
0.3648,4,size
0.3656,3,size
0.3664,2,size
0.3672,1,size
0.3672,2,size
0.368,1,size
0.368,2,size
0.368,3,size
0.368,4,size
0.368,5,size
0.368,6,size
0.368,7,size
0.368,8,size
0.368,9,size
0.368,10,size
0.3688,9,size
0.3696,8,size
0.3704,7,size
0.3712,6,size
0.372,5,size
0.3728,4,size
0.3736,3,size
0.3744,2,size
0.3752,1,size
0.376,0,size
0.384,1,size
0.384,2,size
0.3848,1,size
0.3856,0,size
0.3856,1,size
0.3864,0,size
0.3864,1,size
0.3872,0,size
0.3904,1,size
0.3904,2,size
0.3904,3,size
0.3904,4,size
0.3904,5,size
0.3904,6,size
0.3904,7,size
0.3912,6,size
0.392,5,size
0.3928,4,size
0.3936,3,size
0.3944,2,size
0.3952,1,size
0.3952,2,size
0.3952,3,size
0.3952,4,size
0.396,3,size
0.3968,2,size
0.3976,1,size
0.3984,0,size
0.4056,1,size
0.4064,0,size
0.4128,1,size
0.4128,2,size
0.4128,3,size
0.4128,4,size
0.4128,5,size
0.4128,6,size
0.4128,7,size
0.4136,6,size
0.4144,5,size
0.4152,4,size
0.4152,5,size
0.4152,6,size
0.4152,7,size
0.416,6,size
0.4168,5,size
0.4176,4,size
0.4184,3,size
0.4192,2,size
0.4192,3,size
0.4192,4,size
0.42,3,size
0.4208,2,size
0.4216,1,size
0.4224,0,size
0.4272,1,size
0.428,0,size
0.436,1,size
0.436,2,size
0.436,3,size
0.436,4,size
0.436,5,size
0.4368,4,size
0.4376,3,size
0.4384,2,size
0.4392,1,size
0.4392,2,size
0.44,1,size
0.44,2,size
0.4408,1,size
0.4408,2,size
0.4416,1,size
0.4416,2,size
0.4424,1,size
0.4432,0,size
0.456,1,size
0.456,2,size
0.456,3,size
0.456,4,size
0.456,5,size
0.456,6,size
0.456,7,size
0.456,8,size
0.4568,7,size
0.4576,6,size
0.4584,5,size
0.4592,4,size
0.46,3,size
0.4608,2,size
0.4616,1,size
0.4624,0,size
0.4768,1,size
0.4768,2,size
0.4768,3,size
0.4768,4,size
0.4768,5,size
0.4768,6,size
0.4768,7,size
0.4776,6,size
0.4784,5,size
0.4792,4,size
0.48,3,size
0.48,4,size
0.4808,3,size
0.4816,2,size
0.4816,3,size
0.4816,4,size
0.4816,5,size
0.4816,6,size
0.4816,7,size
0.4816,8,size
0.4816,9,size
0.4816,10,size
0.4816,11,size
0.4824,10,size
0.4832,9,size
0.484,8,size
0.4848,7,size
0.4856,6,size
0.4864,5,size
0.4872,4,size
0.488,3,size
0.4888,2,size
0.4896,1,size
0.4904,2,size
0.4904,1,size
0.4912,0,size
0.5016,1,size
0.5016,2,size
0.5016,3,size
0.5016,4,size
0.5016,5,size
0.5016,6,size
0.5024,5,size
0.5032,4,size
0.504,3,size
0.5048,2,size
0.5056,1,size
0.5064,0,size
0.508,1,size
0.508,2,size
0.508,3,size
0.508,4,size
0.508,5,size
0.5088,4,size
0.5096,3,size
0.5104,2,size
0.5104,3,size
0.5112,2,size
0.5112,3,size
0.5112,4,size
0.5112,5,size
0.5112,6,size
0.5112,7,size
0.5112,8,size
0.5112,9,size
0.5112,10,size
0.512,9,size
0.512,10,size
0.5128,9,size
0.5136,8,size
0.5144,7,size
0.5152,6,size
0.516,5,size
0.5168,4,size
0.5176,3,size
0.5184,2,size
0.5192,3,size
0.5192,2,size
0.52,1,size
0.5208,0,size
0.524,1,size
0.524,2,size
0.524,3,size
0.524,4,size
0.524,5,size
0.524,6,size
0.5248,5,size
0.5256,4,size
0.5264,3,size
0.5272,2,size
0.528,1,size
0.5288,0,size
0.5288,1,size
0.5296,0,size
0.5296,1,size
0.5304,0,size
0.5304,1,size
0.5312,0,size
0.536,1,size
0.536,2,size
0.536,3,size
0.536,4,size
0.536,5,size
0.536,6,size
0.536,7,size
0.536,8,size
0.5368,7,size
0.5376,6,size
0.5384,5,size
0.5392,4,size
0.54,3,size
0.5408,2,size
0.5416,1,size
0.5424,0,size
0.5464,1,size
0.5464,2,size
0.5472,1,size
0.548,0,size
0.5528,1,size
0.5536,0,size
0.5584,1,size
0.5584,2,size
0.5584,3,size
0.5584,4,size
0.5584,5,size
0.5584,6,size
0.5592,5,size
0.56,4,size
0.5608,3,size
0.5616,2,size
0.5624,1,size
0.5632,0,size
0.5736,1,size
0.5736,2,size
0.5736,3,size
0.5736,4,size
0.5736,5,size
0.5736,6,size
0.5744,5,size
0.5752,4,size
0.576,3,size
0.5768,2,size
0.5776,1,size
0.5784,0,size
0.5928,1,size
0.5928,2,size
0.5928,3,size
0.5928,4,size
0.5928,5,size
0.5928,6,size
0.5928,7,size
0.5936,6,size
0.5944,5,size
0.5952,4,size
0.596,3,size
0.596,4,size
0.5968,3,size
0.5968,4,size
0.5968,5,size
0.5968,6,size
0.5968,7,size
0.5968,8,size
0.5968,9,size
0.5968,10,size
0.5968,11,size
0.5968,12,size
0.5976,11,size
0.5984,10,size
0.5992,9,size
0.6,8,size
0.6008,7,size
0.6016,6,size
0.6024,5,size
0.6032,4,size
0.604,3,size
0.6048,2,size
0.6056,1,size
0.6064,0,size
0.62,1,size
0.62,2,size
0.62,3,size
0.62,4,size
0.62,5,size
0.62,6,size
0.62,7,size
0.6208,6,size
0.6208,7,size
0.6208,8,size
0.6216,7,size
0.6224,6,size
0.6232,5,size
0.6232,6,size
0.624,5,size
0.624,6,size
0.624,7,size
0.624,8,size
0.624,9,size
0.624,10,size
0.624,11,size
0.624,12,size
0.624,13,size
0.6248,12,size
0.6256,11,size
0.6264,10,size
0.6272,9,size
0.6272,10,size
0.6272,11,size
0.6272,12,size
0.6272,13,size
0.6272,14,size
0.6272,15,size
0.6272,16,size
0.628,15,size
0.6288,14,size
0.6296,13,size
0.6304,12,size
0.6312,11,size
0.632,10,size
0.6328,9,size
0.6336,8,size
0.6344,7,size
0.6352,6,size
0.636,7,size
0.636,6,size
0.6368,5,size
0.6376,4,size
0.6384,3,size
0.6392,2,size
0.64,1,size
0.6408,0,size
0.6432,1,size
0.6432,2,size
0.6432,3,size
0.6432,4,size
0.6432,5,size
0.6432,6,size
0.6432,7,size
0.6432,8,size
0.644,7,size
0.6448,6,size
0.6456,5,size
0.6464,4,size
0.6472,3,size
0.6472,4,size
0.648,3,size
0.6488,2,size
0.6496,1,size
0.6504,0,size
0.6536,1,size
0.6544,0,size
0.6544,1,size
0.6552,0,size
0.6584,1,size
0.6584,2,size
0.6584,3,size
0.6584,4,size
0.6584,5,size
0.6584,6,size
0.6584,7,size
0.6592,6,size
0.66,5,size
0.6608,4,size
0.6616,3,size
0.6616,4,size
0.6624,3,size
0.6632,2,size
0.664,1,size
0.6648,0,size
0.6656,1,size
0.6656,0,size
0.668,1,size
0.668,2,size
0.668,3,size
0.668,4,size
0.668,5,size
0.668,6,size
0.668,7,size
0.6688,6,size
0.6696,5,size
0.6704,4,size
0.6712,3,size
0.672,2,size
0.6728,1,size
0.6736,0,size
0.676,1,size
0.676,2,size
0.676,3,size
0.676,4,size
0.6768,3,size
0.6776,2,size
0.6784,1,size
0.6792,0,size
0.6816,1,size
0.6816,2,size
0.6816,3,size
0.6824,2,size
0.6832,1,size
0.684,0,size
0.692,1,size
0.692,2,size
0.692,3,size
0.692,4,size
0.692,5,size
0.692,6,size
0.692,7,size
0.6928,6,size
0.6936,5,size
0.6944,4,size
0.6952,3,size
0.696,2,size
0.6968,1,size
0.6976,0,size
0.704,1,size
0.704,2,size
0.704,3,size
0.704,4,size
0.7048,3,size
0.7056,2,size
0.7064,1,size
0.7072,0,size
0.7128,1,size
0.7128,2,size
0.7128,3,size
0.7136,2,size
0.7144,1,size
0.7152,0,size
0.7152,1,size
0.716,0,size
0.716,1,size
0.716,2,size
0.716,3,size
0.716,4,size
0.716,5,size
0.716,6,size
0.716,7,size
0.716,8,size
0.716,9,size
0.716,10,size
0.7168,9,size
0.7176,8,size
0.7184,7,size
0.7192,6,size
0.72,5,size
0.7208,4,size
0.7216,3,size
0.7224,2,size
0.7232,1,size
0.724,0,size
0.7272,1,size
0.7272,2,size
0.7272,3,size
0.7272,4,size
0.7272,5,size
0.7272,6,size
0.728,5,size
0.7288,4,size
0.7296,3,size
0.7304,2,size
0.7312,1,size
0.732,0,size
0.7408,1,size
0.7416,0,size
0.7504,1,size
0.7504,2,size
0.7504,3,size
0.7504,4,size
0.7504,5,size
0.7504,6,size
0.7512,5,size
0.752,4,size
0.7528,3,size
0.7536,2,size
0.7544,3,size
0.7544,2,size
0.7552,1,size
0.756,0,size
0.7656,1,size
0.7656,2,size
0.7656,3,size
0.7656,4,size
0.7656,5,size
0.7656,6,size
0.7656,7,size
0.7664,6,size
0.7672,5,size
0.768,4,size
0.7688,3,size
0.7696,2,size
0.7704,1,size
0.7712,0,size
0.7728,1,size
0.7728,2,size
0.7728,3,size
0.7736,2,size
0.7744,1,size
0.7752,0,size
0.7768,1,size
0.7768,2,size
0.7768,3,size
0.7768,4,size
0.7768,5,size
0.7768,6,size
0.7776,5,size
0.7784,4,size
0.7792,3,size
0.78,2,size
0.7808,1,size
0.7816,0,size
0.7896,1,size
0.7904,0,size
0.7912,1,size
0.7912,2,size
0.792,1,size
0.7928,0,size
0.7992,1,size
0.7992,2,size
0.7992,3,size
0.7992,4,size
0.7992,5,size
0.7992,6,size
0.8,5,size
0.8008,4,size
0.8016,3,size
0.8016,4,size
0.8016,5,size
0.8016,6,size
0.8024,5,size
0.8032,4,size
0.804,3,size
0.8048,2,size
0.8056,1,size
0.8064,0,size
0.8152,1,size
0.816,0,size
0.8216,1,size
0.8216,2,size
0.8216,3,size
0.8216,4,size
0.8216,5,size
0.8216,6,size
0.8216,7,size
0.8224,6,size
0.8232,5,size
0.824,4,size
0.8248,3,size
0.8256,2,size
0.8256,3,size
0.8264,2,size
0.8264,3,size
0.8272,2,size
0.8272,3,size
0.828,2,size
0.8288,1,size
0.8296,0,size
0.836,1,size
0.836,2,size
0.836,3,size
0.836,4,size
0.836,5,size
0.836,6,size
0.836,7,size
0.8368,6,size
0.8376,5,size
0.8384,4,size
0.8392,3,size
0.84,2,size
0.8408,1,size
0.8416,0,size
0.844,1,size
0.8448,0,size
0.8456,1,size
0.8456,2,size
0.8456,3,size
0.8456,4,size
0.8464,3,size
0.8472,2,size
0.848,1,size
0.848,2,size
0.8488,1,size
0.8496,0,size
0.8496,1,size
0.8496,2,size
0.8496,3,size
0.8496,4,size
0.8496,5,size
0.8496,6,size
0.8496,7,size
0.8496,8,size
0.8504,7,size
0.8504,8,size
0.8512,7,size
0.852,6,size
0.8528,5,size
0.8536,4,size
0.8544,3,size
0.8552,2,size
0.856,1,size
0.8568,0,size
0.8592,1,size
0.8592,2,size
0.8592,3,size
0.8592,4,size
0.8592,5,size
0.8592,6,size
0.86,5,size
0.8608,4,size
0.8616,3,size
0.8624,2,size
0.8632,1,size
0.864,0,size
0.8688,1,size
0.8696,0,size
0.8696,1,size
0.8704,0,size
0.8728,1,size
0.8728,2,size
0.8728,3,size
0.8728,4,size
0.8728,5,size
0.8728,6,size
0.8728,7,size
0.8736,6,size
0.8744,5,size
0.8752,4,size
0.876,3,size
0.8768,2,size
0.8776,1,size
0.8784,0,size
0.8936,1,size
0.8944,0,size
0.8968,1,size
0.8968,2,size
0.8968,3,size
0.8976,2,size
0.8984,1,size
0.8992,0,size
0.8992,1,size
0.9,0,size
0.9144,1,size
0.9144,2,size
0.9144,3,size
0.9144,4,size
0.9144,5,size
0.9144,6,size
0.9152,5,size
0.916,4,size
0.9168,3,size
0.9176,2,size
0.9184,1,size
0.9192,0,size
0.9352,1,size
0.936,0,size
0.9376,1,size
0.9376,2,size
0.9384,1,size
0.9392,0,size
0.956,1,size
0.956,2,size
0.956,3,size
0.956,4,size
0.956,5,size
0.956,6,size
0.956,7,size
0.9568,6,size
0.9576,5,size
0.9584,4,size
0.9592,3,size
0.96,2,size
0.9608,1,size
0.9608,2,size
0.9616,1,size
0.9624,0,size
0.9776,1,size
0.9776,2,size
0.9776,3,size
0.9784,2,size
0.9792,1,size
0.98,0,size
0.9808,1,size
0.9808,2,size
0.9808,3,size
0.9808,4,size
0.9808,5,size
0.9808,6,size
0.9816,5,size
0.9824,4,size
0.9832,3,size
0.984,2,size
0.9848,1,size
0.9856,0,size
2.0272,1,size
2.0272,2,size
2.0272,3,size
2.0272,4,size
2.0272,5,size
2.0272,6,size
2.028,5,size
2.0288,4,size
2.0296,3,size
2.0304,2,size
2.0312,1,size
2.032,0,size
2.052,1,size
2.052,2,size
2.052,3,size
2.052,4,size
2.052,5,size
2.052,6,size
2.0528,5,size
2.0536,4,size
2.0544,3,size
2.0552,2,size
2.056,1,size
2.0568,0,size
2.0744,1,size
2.0744,2,size
2.0752,1,size
2.076,0,size
2.076,1,size
2.076,2,size
2.076,3,size
2.0768,2,size
2.0776,1,size
2.0784,0,size
2.0992,1,size
2.0992,2,size
2.0992,3,size
2.0992,4,size
2.0992,5,size
2.1,4,size
2.1008,3,size
2.1016,2,size
2.1024,1,size
2.1032,0,size
2.1192,1,size
2.12,0,size
2.1208,1,size
2.1208,2,size
2.1208,3,size
2.1216,2,size
2.1224,1,size
2.1232,0,size
2.1408,1,size
2.1408,2,size
2.1408,3,size
2.1408,4,size
2.1408,5,size
2.1408,6,size
2.1408,7,size
2.1416,6,size
2.1424,5,size
2.1432,4,size
2.144,3,size
2.1448,2,size
2.1456,1,size
2.1464,0,size
2.1608,1,size
2.1608,2,size
2.1608,3,size
2.1608,4,size
2.1608,5,size
2.1616,4,size
2.1624,3,size
2.1632,2,size
2.164,1,size
2.164,2,size
2.1648,1,size
2.1648,2,size
2.1648,3,size
2.1648,4,size
2.1648,5,size
2.1648,6,size
2.1648,7,size
2.1648,8,size
2.1656,7,size
2.1664,6,size
2.1672,5,size
2.168,4,size
2.1688,3,size
2.1696,2,size
2.1704,1,size
2.1712,0,size
2.1888,1,size
2.1896,0,size
2.1904,1,size
2.1912,0,size
2.2128,1,size
2.2128,2,size
2.2128,3,size
2.2128,4,size
2.2128,5,size
2.2128,6,size
2.2136,5,size
2.2144,4,size
2.2152,3,size
2.216,2,size
2.2168,1,size
2.2176,0,size
2.232,1,size
2.232,2,size
2.232,3,size
2.2328,2,size
2.2336,1,size
2.2344,0,size
2.236,1,size
2.236,2,size
2.236,3,size
2.236,4,size
2.236,5,size
2.2368,4,size
2.2376,3,size
2.2384,2,size
2.2392,1,size
2.24,0,size
2.256,1,size
2.256,2,size
2.2568,1,size
2.2576,0,size
2.2592,1,size
2.2592,2,size
2.2592,3,size
2.2592,4,size
2.2592,5,size
2.2592,6,size
2.2592,7,size
2.26,6,size
2.2608,5,size
2.2616,4,size
2.2624,3,size
2.2632,2,size
2.264,1,size
2.2648,0,size
2.2776,1,size
2.2776,2,size
2.2776,3,size
2.2776,4,size
2.2776,5,size
2.2776,6,size
2.2784,5,size
2.2792,4,size
2.28,3,size
2.2808,2,size
2.2816,1,size
2.2824,0,size
2.2976,1,size
2.2976,2,size
2.2984,1,size
2.2992,0,size
2.3,1,size
2.3,2,size
2.3,3,size
2.3,4,size
2.3,5,size
2.3008,4,size
2.3016,3,size
2.3024,2,size
2.3024,3,size
2.3032,2,size
2.3032,3,size
2.3032,4,size
2.3032,5,size
2.3032,6,size
2.3032,7,size
2.3032,8,size
2.3032,9,size
2.304,8,size
2.3048,7,size
2.3056,6,size
2.3064,5,size
2.3072,4,size
2.308,3,size
2.3088,2,size
2.3096,1,size
2.3104,0,size
2.3216,1,size
2.3224,0,size
2.3232,1,size
2.324,0,size
2.324,1,size
2.3248,0,size
2.3272,1,size
2.3272,2,size
