Time,Sequence Number,Event
7.504,46000,send
7.504,47000,send
7.504,45000,transmit
7.5048,46000,transmit
7.5056,47000,transmit
7.5256,46000,ack
7.5256,48000,send
7.5256,49000,send
7.5256,48000,transmit
7.5264,49000,transmit
7.5464,48000,ack
7.5464,50000,send
7.5464,51000,send
7.5464,51000,transmit
7.5472,49000,ack
7.5472,52000,send
7.5472,52000,transmit
7.5672,49000,ack
8.5672,50000,send
8.5672,50000,transmit
8.588,52000,ack
8.588,53000,send
8.588,54000,send
8.588,55000,send
8.588,53000,transmit
8.5888,54000,transmit
8.5896,55000,transmit
8.6088,53000,ack
8.6088,56000,send
8.6088,56000,transmit
8.6096,54000,ack
8.6096,57000,send
8.6096,57000,transmit
8.6104,55000,ack
8.6104,58000,send
8.6104,58000,transmit
8.6296,56000,ack
8.6296,59000,send
8.6296,59000,transmit
8.6304,57000,ack
8.6304,60000,send
8.6304,60000,transmit
8.6312,58000,ack
8.6312,61000,send
8.6312,61000,transmit
8.6504,59000,ack
8.6504,62000,send
8.6504,62000,transmit
8.6512,60000,ack
8.6512,63000,send
8.6512,63000,transmit
8.652,61000,ack
8.652,64000,send
8.652,64000,transmit
8.672,63000,ack
8.672,65000,send
8.672,66000,send
8.672,65000,transmit
8.6728,66000,transmit
8.6928,65000,ack
8.6928,67000,send
8.6928,68000,send
8.6928,67000,transmit
8.6936,66000,ack
8.6936,69000,send
8.6936,68000,transmit
8.6944,69000,transmit
8.7136,67000,ack
8.7136,70000,send
8.7144,68000,ack
8.7144,71000,send
8.7144,71000,transmit
8.7152,69000,ack
8.7152,72000,send
8.7152,72000,transmit
8.7352,69000,ack
8.736,69000,ack
9.736,70000,send
9.736,70000,transmit
9.7568,72000,ack
9.7568,73000,send
9.7568,74000,send
9.7568,75000,send
9.7568,73000,transmit
9.7576,74000,transmit
9.7584,75000,transmit
9.7776,73000,ack
9.7776,76000,send
9.7776,76000,transmit
9.7784,74000,ack
9.7784,77000,send
9.7784,77000,transmit
9.7792,75000,ack
9.7792,78000,send
9.7792,78000,transmit
9.7984,76000,ack
9.7984,79000,send
9.7984,79000,transmit
9.7992,77000,ack
9.7992,80000,send
9.7992,80000,transmit
9.8,78000,ack
9.8,81000,send
9.8,81000,transmit
9.8192,79000,ack
9.8192,82000,send
9.8192,82000,transmit
9.82,80000,ack
9.82,83000,send
9.82,83000,transmit
9.8208,81000,ack
9.8208,84000,send
9.8208,84000,transmit
9.84,82000,ack
9.84,85000,send
9.84,85000,transmit
9.8408,83000,ack
9.8408,86000,send
9.8408,86000,transmit
9.8416,84000,ack
9.8416,87000,send
9.8416,87000,transmit
9.8608,85000,ack
9.8608,88000,send
9.8608,88000,transmit
9.8616,86000,ack
9.8616,89000,send
9.8616,89000,transmit
9.8624,87000,ack
9.8624,90000,send
9.8624,90000,transmit
9.8816,88000,ack
9.8816,91000,send
9.8816,91000,transmit
9.8824,89000,ack
9.8824,92000,send
9.8824,92000,transmit
9.8832,90000,ack
9.8832,93000,send
9.8832,93000,transmit
9.9024,91000,ack
9.9024,94000,send
9.9024,94000,transmit
9.9032,92000,ack
9.9032,95000,send
9.9032,95000,transmit
9.904,93000,ack
9.904,96000,send
9.904,96000,transmit
9.9232,94000,ack
9.9232,97000,send
9.9232,97000,transmit
9.924,95000,ack
9.924,98000,send
9.9248,96000,ack
9.9248,99000,send
10.9248,97000,send
10.9248,97000,transmit
10.9456,97000,ack
10.9456,98000,send
10.9456,99000,send
10.9456,100000,send
10.9456,98000,transmit
10.9464,99000,transmit
10.9472,100000,transmit
10.9664,98000,ack
10.9664,101000,send
10.9664,101000,transmit
10.9672,99000,ack
10.9672,102000,send
10.9672,102000,transmit
10.968,100000,ack
10.968,103000,send
10.968,103000,transmit
10.9872,101000,ack
10.9872,104000,send
10.9872,104000,transmit
10.988,102000,ack
10.988,105000,send
10.988,105000,transmit
11.008,104000,ack
11.008,106000,send
11.008,107000,send
11.008,106000,transmit
11.0088,105000,ack
11.0088,108000,send
11.0088,107000,transmit
11.0096,108000,transmit
11.0288,106000,ack
11.0288,109000,send
11.0288,109000,transmit
11.0296,107000,ack
11.0296,110000,send
11.0304,108000,ack
11.0304,111000,send
11.0304,111000,transmit
11.0496,109000,ack
11.0496,112000,send
11.0496,112000,transmit
11.0512,109000,ack
11.0704,109000,ack
12.0704,110000,send
12.0704,110000,transmit
12.0912,112000,ack
12.0912,113000,send
12.0912,114000,send
12.0912,115000,send
12.0912,113000,transmit
12.092,114000,transmit
12.0928,115000,transmit
12.112,113000,ack
12.112,116000,send
12.1128,114000,ack
12.1128,117000,send
12.1128,117000,transmit
12.1136,115000,ack
12.1136,118000,send
12.1136,118000,transmit
12.1336,115000,ack
12.1344,115000,ack
13.1344,116000,send
13.1344,116000,transmit
13.1552,118000,ack
13.1552,119000,send
13.1552,120000,send
13.1552,121000,send
13.1552,119000,transmit
13.156,120000,transmit
13.1568,121000,transmit
13.1768,120000,ack
13.1768,122000,send
13.1768,123000,send
13.1768,122000,transmit
13.1776,121000,ack
13.1776,124000,send
13.1776,123000,transmit
13.1784,124000,transmit
13.1976,122000,ack
13.1976,125000,send
13.1976,125000,transmit
13.1984,123000,ack
13.1984,126000,send
13.1984,126000,transmit
13.1992,124000,ack
13.1992,127000,send
13.1992,127000,transmit
13.2184,125000,ack
13.2184,128000,send
13.2184,128000,transmit
13.2192,126000,ack
13.2192,129000,send
13.2192,129000,transmit
13.22,127000,ack
13.22,130000,send
13.2392,128000,ack
13.2392,131000,send
13.2392,131000,transmit
13.24,129000,ack
13.24,132000,send
13.24,132000,transmit
13.26,129000,ack
13.2608,129000,ack
14.2608,130000,send
14.2608,130000,transmit
14.2816,132000,ack
14.2816,133000,send
14.2816,134000,send
